STATE,Year,mx.standard.b,mx.standard.f,mx.standard.m
23,1990,0.0112171033506695,0.00899290691983733,0.0145189229688205
23,2000,0.0106190477600509,0.00897948441624226,0.0129796134348123
23,2010,0.00930733627148066,0.00794362252368947,0.0111080524565893
23,2019,0.00952908576028666,0.00799871062008625,0.0113832496401394
25,1990,0.010935733746913,0.00889760089096891,0.0141220494565381
25,2000,0.0102308390709244,0.00863564467732431,0.0126407539900906
25,2010,0.00844216842478012,0.00713326968443818,0.0102314294830971
25,2019,0.00821373849270971,0.00691520061212917,0.00989836457774666
26,1990,0.011904414073463,0.00967527606649165,0.0151646282385662
26,2000,0.0112602525390121,0.00958330639176572,0.0136351718189799
26,2010,0.00980413427727809,0.00842203406259043,0.0115909558236481
26,2019,0.00969986232428936,0.0083186889002562,0.0113763031482395
30,1990,0.010874237042279,0.00894552517006026,0.0135482461906616
30,2000,0.0104207822344935,0.00862280047823554,0.0128006810139224
30,2010,0.0093229073206825,0.00794633691725259,0.0109709981547479
30,2019,0.00923661620750049,0.00787378044497789,0.0107471115556957
32,1990,0.0122001530905504,0.00969663964551645,0.0153444487722733
32,2000,0.0114600384993711,0.00945124405298548,0.0139553390481538
32,2010,0.0101003092902028,0.00861803523548239,0.0118046356479244
32,2019,0.00960574184393811,0.00805287771084858,0.011314381889179
34,1990,0.0117110545965703,0.00960751975334508,0.014850145290574
34,2000,0.0107149713880288,0.00903306647276634,0.0132158996342665
34,2010,0.00875981855088347,0.00746735418181627,0.0105342708398311
34,2019,0.00819805011328959,0.00695150763616787,0.00976757857322148
36,1990,0.0120298625780229,0.0097093251672356,0.0154862808505182
36,2000,0.0103896881162051,0.00877664943151321,0.0127871318326139
36,2010,0.00856593983911041,0.00732151461576967,0.010280754731312
36,2019,0.00781273803348964,0.00659282890154587,0.00936902827773997
37,1990,0.0120198184771985,0.00942037528684811,0.015993863645041
37,2000,0.0117627178791966,0.00974486813354166,0.0147646335791674
37,2010,0.0100513742562371,0.00847871858510314,0.0121799465595955
37,2019,0.00980293438536264,0.00834147171637324,0.0116261510348612
39,1990,0.0119461371343118,0.00974811729656094,0.0153178661305351
39,2000,0.0114767965908827,0.00973292445044501,0.0140036791439938
39,2010,0.0101302551175425,0.00867399936327029,0.0120628599049515
39,2019,0.0102909020698042,0.0087707419634264,0.0121631613160824
42,1990,0.0118434390109017,0.00960546713075787,0.0152352342422766
42,2000,0.0111514100217876,0.0093740555051271,0.0137213067618276
42,2010,0.00956760875774156,0.00807861823618281,0.0115252450373307
42,2019,0.00933816199500918,0.00787312491764107,0.0111550925864609
44,1990,0.0111902412629591,0.00905306763295015,0.0145658625253925
44,2000,0.010231808448202,0.00866659572095815,0.0126608492500678
44,2010,0.00896944436802533,0.00755029160981778,0.0109431393112404
44,2019,0.00867886673030364,0.00736549287689353,0.0103805925024171
47,1990,0.0125587469202627,0.00982713141099227,0.016640072743186
47,2000,0.0123441625274848,0.0102422418722561,0.015411489322065
47,2010,0.0110353369972915,0.00933871178826765,0.0133097762281044
47,2019,0.0110971053292117,0.00929670695119616,0.0133120602191989
48,1990,0.0117466792583963,0.00928792245382855,0.015245050174782
48,2000,0.0112165147556976,0.00945456213749238,0.013673688571798
48,2010,0.00973447763358536,0.00830195378801318,0.0115822477828532
48,2019,0.00931185155603136,0.00789427594749579,0.0110043603231937
49,1990,0.0100040589539467,0.00802985988876615,0.0127636422544617
49,2000,0.00979960926698976,0.00848956145570703,0.0114735110185356
49,2010,0.00878101687644152,0.00763029178738523,0.0101584196633512
49,2019,0.00872577208497832,0.00773844257518133,0.00983204383699205
53,1990,0.0107625613336327,0.0088023475674811,0.0134576084502248
53,2000,0.0100861919374866,0.00858638379580067,0.0120941671057674
53,2010,0.00870026107266087,0.00750579600686733,0.0101831104217454
53,2019,0.00855090580070532,0.00734602134404547,0.00998949065463403
55,1990,0.0108340103800012,0.00872140953791775,0.0138627262213933
55,2000,0.0101609112285908,0.00848858193826385,0.0125117282936777
55,2010,0.00892237913131668,0.00756368164330238,0.0106672645225635
55,2019,0.00903604933441161,0.00768213711040878,0.0106718789314026
24,1990,0.0121140419762891,0.00986968963137977,0.0154480373437268
24,2000,0.0112573906878152,0.00959081178758367,0.0136381858151472
24,2010,0.00922325953384789,0.00793801262459501,0.0109116879165035
24,2019,0.0088999686488234,0.00751268855073259,0.0106601052987477
01,1990,0.0127797592960735,0.0100608669697041,0.016833043765937
01,2000,0.0124924329722139,0.0102464302652607,0.0157052888110886
01,2010,0.0116313075077349,0.00979464140112097,0.0140543927736848
