FIPS.grp,Year,mx.standard.b,mx.standard.f,mx.standard.m
01001,1990,0.0127936107189642,0.0098289453853261,0.0170962897550615
01001,2000,0.0121774060829603,0.0100441616868795,0.0151883228925533
01001,2010,0.0109212426101355,0.00914141370621899,0.0131961391824156
01001,2019,0.0102978105773707,0.00864152336819026,0.0123184399329364
01003,1990,0.0114374150763438,0.00894165534883897,0.0146713667163762
01003,2000,0.0106096575017037,0.00876244535561583,0.0128516228664394
01003,2010,0.00990403752800038,0.0082680272242071,0.0117736893963857
01003,2019,0.00943972780567019,0.00785177948035971,0.0112288893620382
01005,1990,0.01361259086806,0.0104180708385593,0.0183931439525624
01005,2000,0.0123751893940487,0.0100633589184549,0.0156507852763751
01005,2010,0.0116980193786511,0.00973279516094824,0.0140691225871696
01005,2019,0.0119994004783502,0.00984710617754005,0.0145048598085381
01007,1990,0.0130904649660485,0.0101320342241364,0.0172857158796459
01007,2000,0.0125094219331342,0.0101092660711216,0.0156695533996359
01007,2010,0.0121121532800917,0.0100963095072264,0.0145336351631579
01007,2019,0.0122178424047581,0.0102038104456908,0.0144901202697079
01009,1990,0.0129146218842268,0.00989783873737324,0.0170230864127589
01009,2000,0.0112307981638567,0.00922756984321325,0.013768940000608
01009,2010,0.0111012872606178,0.00933351425871021,0.0133204574575794
01009,2019,0.0115586136045441,0.00983140447747096,0.013539208233142
01011,1990,0.0128371016928521,0.00989865754768292,0.0172201544666414
01011,2000,0.0130314331835471,0.0105044415671733,0.0163285355295768
01011,2010,0.0120588417171234,0.00992499965831184,0.0145325905071221
01011,2019,0.0115778220005515,0.00955566385436448,0.0138321908984579
01013,1990,0.0126752092517624,0.00975011209964876,0.0170228298987267
01013,2000,0.0127249711244736,0.0103289736353456,0.0161550325667091
01013,2010,0.0117156795929342,0.00972069496922663,0.0145497208048471
01013,2019,0.0116458931346811,0.00964266633208633,0.0144915009065406
01015,1990,0.0132076485046429,0.0102658796719212,0.0176505780234968
01015,2000,0.0135646136771415,0.011270926714822,0.0168010926723471
01015,2010,0.01252558037069,0.0105110142548,0.0152816544792907
01015,2019,0.0126687250001952,0.0106440520615996,0.015282716980023
01017,1990,0.0126914031678983,0.00983784878774129,0.0169271609979069
01017,2000,0.0129197183311008,0.0105451773662163,0.0164364122719782
01017,2010,0.0120811607149572,0.0100345395678633,0.0148893059294097
01017,2019,0.0111895006541806,0.00922872409786594,0.0137094913205377
01019,1990,0.0131795015752883,0.0100673148457331,0.0173916973297852
01019,2000,0.0118006659487915,0.009581646472836,0.0147891742292852
01019,2010,0.0117950466690984,0.00993773405579352,0.0139707973936558
01019,2019,0.0114311443891453,0.00942055928090713,0.0136844131505778
01021,1990,0.0126137849192881,0.00970152343245495,0.0165982781144596
01021,2000,0.0123142539154465,0.00997898596241319,0.0154841090803344
01021,2010,0.0123085990427227,0.0102939962743151,0.014767895423387
01021,2019,0.0114925148602004,0.00974291792751063,0.0134756807969312
01023,1990,0.0122036271946067,0.00931777842882303,0.0161098770062788
01023,2000,0.0118692983376194,0.00962688356421681,0.0149009637443162
01023,2010,0.0112101146239442,0.00933275256357436,0.0135449173397097
01023,2019,0.01138727181295,0.00948962165248245,0.0137311267910925
01025,1990,0.0132797049832318,0.0102882729277289,0.0174397599131801
01025,2000,0.0124719638334145,0.0101917408355113,0.015768190094552
01025,2010,0.0118533344813162,0.00988466278098792,0.0144755242046037
01025,2019,0.0119579176522387,0.00999314046163896,0.0144339545476653
01027,1990,0.0120566176995508,0.00919285033218121,0.0160724202003616
01027,2000,0.0121497456336061,0.00990324228559685,0.0150805055704735
01027,2010,0.0129252727937728,0.0108273929611146,0.015447685100352
01027,2019,0.0118325883584763,0.00983529540688876,0.0141924937972569
01029,1990,0.0128317611616526,0.00988612498123939,0.0167892988840356
01029,2000,0.0120648147653055,0.00986196126776331,0.0149883031302401
01029,2010,0.0121147486116292,0.0100966011079814,0.0145774040406216
01029,2019,0.0115141169707194,0.00953611070690939,0.0138703847474195
01031,1990,0.0113604973988458,0.00881842841925924,0.0149541688962823
01031,2000,0.0111388740744118,0.00920897089435574,0.013778108311256
01031,2010,0.0108792267760637,0.00922358976806666,0.0129757041444903
01031,2019,0.0110643481620006,0.00922239869537374,0.0133373391720842
01033,1990,0.0125850217256613,0.00963095444374385,0.0167348986478594
01033,2000,0.0117797010645185,0.00967760777180323,0.0146303436188585
01033,2010,0.0114877371257487,0.00955337934629003,0.013920993894001
01033,2019,0.0120740244218425,0.0100248589476589,0.0145618144753677
01035,1990,0.0125379002550569,0.00963875204702906,0.0166385725209244
01035,2000,0.0127740327393708,0.0103954024418607,0.016049805509292
01035,2010,0.0122255826733905,0.0101936912327209,0.0146416741489503
01035,2019,0.012341855010773,0.0100342360513643,0.014986772483184
01037,1990,0.0127351324845377,0.0097748766236525,0.0164355581143258
01037,2000,0.012046395730694,0.00976446771786613,0.0147878278280745
01037,2010,0.012034537695826,0.00997117137510656,0.0144412429029143
01037,2019,0.0108967171094384,0.00896752570844316,0.0129825100994931
01039,1990,0.0130922492644993,0.010012644145613,0.0175629856088481
01039,2000,0.0121780626485939,0.00987636659884453,0.015366322992122
01039,2010,0.0113443750719292,0.00955634060543423,0.013674195239156
01039,2019,0.0122757813325489,0.0100948005782454,0.0149741657762129
01041,1990,0.0127404558505185,0.00984138969703309,0.0169861269784713
01041,2000,0.0124346079096267,0.0101395119978415,0.0157456460908181
01041,2010,0.0115531851258092,0.00971834242946135,0.0140154699112672
01041,2019,0.012068583267693,0.01000318710292,0.0146304057865555
